Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.795619 0.0 -64.1582 15.0903 -91.7796 60.3271 -331.691 64.2661 -385.584 0.0 64.2661 -385.584 -48.1338 -64.1582 -433.60992 8.50059 8.50059
0 1 -8.795619 0.0 -64.1582 15.0903 -91.7796 60.3271 -331.691 64.2661 -385.584 0.0 64.2661 -385.584 -48.1338 -64.1582 -433.60992 8.50059 8.50059
0 2 -8.795619 0.0 -64.1582 15.0903 -91.7796 60.3271 -331.691 64.2661 -385.584 0.0 64.2661 -385.584 -48.1338 -64.1582 -433.60992 8.50059 8.50059
0 3 -8.720517 0.0 -63.0416 15.1378 -91.8085 60.3271 -331.691 64.1915 -385.923 0.0 64.1915 -385.923 -48.0743 -63.0416 -432.8474 8.64638 8.64638
0 4 -8.720517 0.0 -63.0416 15.1378 -91.8085 60.3271 -331.691 64.1915 -385.923 0.0 64.1915 -385.923 -48.0743 -63.0416 -432.8474 8.64638 8.64638
0 5 -8.579671 0.0 -62.063 15.1844 -92.1735 60.3271 -331.691 64.1383 -385.345 0.0 64.1383 -385.345 -47.3015 -62.063 -430.5712 9.43275 9.43275
0 6 -8.579671 0.0 -62.063 15.1844 -92.1735 60.3271 -331.691 64.1383 -385.345 0.0 64.1383 -385.345 -47.3015 -62.063 -430.5712 9.43275 9.43275
0 7 -8.579671 0.0 -62.063 15.1844 -92.1735 60.3271 -331.691 64.1383 -385.345 0.0 64.1383 -385.345 -47.3015 -62.063 -430.5712 9.43275 9.43275
1 0 -7.6897445 0.0 -39.0648 15.4606 -102.027 60.3271 -331.691 65.202 -417.424 0.0 65.202 -417.424 -41.1617 -39.0648 -432.44852 8.92283 8.92283
1 1 -7.6897445 0.0 -39.0648 15.4606 -102.027 60.3271 -331.691 65.202 -417.424 0.0 65.202 -417.424 -41.1617 -39.0648 -432.44852 8.92283 8.92283
1 2 -7.6897445 0.0 -39.0648 15.4606 -102.027 60.3271 -331.691 65.202 -417.424 0.0 65.202 -417.424 -41.1617 -39.0648 -432.44852 8.92283 8.92283
1 3 -7.6897445 0.0 -39.0648 15.4606 -102.027 60.3271 -331.691 65.202 -417.424 0.0 65.202 -417.424 -41.1617 -39.0648 -432.44852 8.92283 8.92283
1 4 -7.6897445 0.0 -39.0648 15.4606 -102.027 60.3271 -331.691 65.202 -417.424 0.0 65.202 -417.424 -41.1617 -39.0648 -432.44852 8.92283 8.92283
1 5 -7.700234 0.0 -38.8414 15.4456 -99.864 60.3271 -331.691 65.1309 -415.691 0.0 65.1309 -415.691 -42.9885 -38.8414 -432.39 8.30185 8.30185
1 6 -7.700234 0.0 -38.8414 15.4456 -99.864 60.3271 -331.691 65.1309 -415.691 0.0 65.1309 -415.691 -42.9885 -38.8414 -432.39 8.30185 8.30185
1 7 -7.707934 0.0 -39.1095 15.3954 -101.654 60.3271 -331.691 65.1283 -417.266 0.0 65.1283 -417.266 -40.4226 -39.1095 -431.6698 9.06796 9.06796
2 0 -8.270991 0.0 -48.4992 14.5648 -80.3165 60.3271 -331.691 63.083 -388.737 0.0 63.083 -388.737 -57.1471 -48.4992 -431.3003 8.02422 8.02422
2 1 -8.270991 0.0 -48.4992 14.5648 -80.3165 60.3271 -331.691 63.083 -388.737 0.0 63.083 -388.737 -57.1471 -48.4992 -431.3003 8.02422 8.02422
2 2 -8.232697 0.0 -48.1093 14.5625 -80.3962 60.3271 -331.691 63.0751 -388.785 0.0 63.0751 -388.785 -56.791 -48.1093 -430.6102 8.51706 8.51706
