Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.369524 0.0 -44.5689 8.60707 -13.1221 489.093 -2994.99 487.834 -2995.53 0.0 487.834 -2995.53 25.9064 -44.5689 -2526.3586 29.0361 29.0361
0 1 -8.365579 0.0 -44.5807 8.60073 -13.1357 489.093 -2994.99 487.84 -2995.48 0.0 487.84 -2995.48 25.8914 -44.5807 -2526.329 29.0364 29.0364
0 2 -8.29201 0.0 -43.7408 8.63078 -13.1533 489.093 -2994.99 487.777 -2995.45 0.0 487.777 -2995.45 26.3655 -43.7408 -2525.048 30.1204 30.1204
0 3 -7.872071 0.0 -38.671 8.58805 -15.5739 489.093 -2994.99 487.996 -2999.25 0.0 487.996 -2999.25 27.0486 -38.671 -2522.8762 32.0669 32.0669
0 4 -7.932 0.0 -40.4567 8.71145 -15.079 489.093 -2994.99 487.735 -2996.38 0.0 487.735 -2996.38 27.3524 -40.4567 -2521.749 32.4748 32.4748
0 5 -7.8330436 0.0 -39.453 8.64934 -15.2945 489.093 -2994.99 487.66 -2996.51 0.0 487.66 -2996.51 26.9867 -39.453 -2521.3164 32.9983 32.9983
0 6 -7.780754 0.0 -38.9939 8.56915 -15.0595 489.093 -2994.99 487.916 -2996.65 0.0 487.916 -2996.65 27.0467 -38.9939 -2520.6812 33.1928 33.1928
0 7 -8.138601 0.0 -42.4764 8.77575 -15.1877 489.093 -2994.99 487.222 -2995.85 0.0 487.222 -2995.85 31.1904 -42.4764 -2519.914 34.6905 34.6905
0 8 -7.468279 0.0 -36.295 8.68608 -15.2421 489.093 -2994.99 488.972 -2997.35 0.0 488.972 -2997.35 26.7543 -36.295 -2517.919 35.0214 35.0214
0 9 -7.9224086 0.0 -39.217 8.73976 -13.9162 489.093 -2994.99 488.076 -2997.46 0.0 488.076 -2997.46 30.6998 -39.217 -2517.9011 37.2989 37.2989
0 10 -7.33789 0.0 -34.7668 8.72075 -15.3424 489.093 -2994.99 488.85 -2997.44 0.0 488.85 -2997.44 26.6929 -34.7668 -2516.6638 35.9204 35.9204
1 0 -8.103991 0.0 -41.5663 8.84349 -13.527 489.093 -2994.99 487.781 -2995.79 0.0 487.781 -2995.79 26.033 -41.5663 -2523.5422 25.3841 25.3841
1 1 -8.104831 0.0 -41.6874 8.83698 -13.5332 489.093 -2994.99 487.805 -2995.67 0.0 487.805 -2995.67 26.0929 -41.6874 -2523.4595 25.459 25.459
1 2 -8.10033 0.0 -41.6878 8.84706 -13.5396 489.093 -2994.99 487.833 -2995.63 0.0 487.833 -2995.63 26.1919 -41.6878 -2523.2927 25.6045 25.6045
1 3 -8.076477 0.0 -43.6329 8.73817 -13.5372 489.093 -2994.99 487.607 -2992.05 0.0 487.607 -2992.05 27.3434 -43.6329 -2520.7327 29.0814 29.0814
1 4 -7.9475546 0.0 -40.5823 8.73973 -13.2876 489.093 -2994.99 487.499 -2994.24 0.0 487.499 -2994.24 26.9554 -40.5823 -2520.368 28.4312 28.4312
1 5 -7.9475546 0.0 -40.5823 8.73973 -13.2876 489.093 -2994.99 487.499 -2994.24 0.0 487.499 -2994.24 26.9554 -40.5823 -2520.368 28.4312 28.4312
1 6 -7.9475546 0.0 -40.5823 8.73973 -13.2876 489.093 -2994.99 487.499 -2994.24 0.0 487.499 -2994.24 26.9554 -40.5823 -2520.368 28.4312 28.4312
1 7 -7.9475546 0.0 -40.5823 8.73973 -13.2876 489.093 -2994.99 487.499 -2994.24 0.0 487.499 -2994.24 26.9554 -40.5823 -2520.368 28.4312 28.4312
1 8 -7.6074967 0.0 -36.2426 8.86508 -12.9735 489.093 -2994.99 487.406 -2994.74 0.0 487.406 -2994.74 27.8623 -36.2426 -2515.7144 32.9055 32.9055
1 9 -7.6475515 0.0 -37.501 8.63251 -13.9595 489.093 -2994.99 487.474 -2994.9 0.0 487.474 -2994.9 31.5029 -37.501 -2513.4238 35.4422 35.4422
1 10 -7.754374 0.0 -42.129 8.96729 -17.2005 489.093 -2994.99 487.917 -2992.9 0.0 487.917 -2992.9 37.7801 -42.129 -2509.3318 37.0211 37.0211
1 11 -7.62353 0.0 -41.5241 8.91355 -17.3434 489.093 -2994.99 487.928 -2991.94 0.0 487.928 -2991.94 37.6727 -41.5241 -2507.8633 38.9735 38.9735
1 12 -7.5513544 0.0 -37.6866 8.79742 -12.5214 489.093 -2994.99 487.818 -2991.88 0.0 487.818 -2991.88 34.482 -37.6866 -2507.2666 43.4387 43.4387
2 0 -7.8486595 0.0 -40.3045 8.59121 -15.2815 489.093 -2994.99 487.721 -2995.62 0.0 487.721 -2995.62 25.9854 -40.3045 -2522.2183 29.4587 29.4587
2 1 -7.8486595 0.0 -40.3045 8.59121 -15.2815 489.093 -2994.99 487.721 -2995.62 0.0 487.721 -2995.62 25.9854 -40.3045 -2522.2183 29.4587 29.4587
2 2 -7.8486595 0.0 -40.3045 8.59121 -15.2815 489.093 -2994.99 487.721 -2995.62 0.0 487.721 -2995.62 25.9854 -40.3045 -2522.2183 29.4587 29.4587
2 3 -7.8486595 0.0 -40.3045 8.59121 -15.2815 489.093 -2994.99 487.721 -2995.62 0.0 487.721 -2995.62 25.9854 -40.3045 -2522.2183 29.4587 29.4587
2 4 -7.8456616 0.0 -40.2143 8.58894 -15.2659 489.093 -2994.99 487.709 -2995.68 0.0 487.709 -2995.68 25.9856 -40.2143 -2522.1997 29.5056 29.5056
2 5 -7.8456616 0.0 -40.2143 8.58894 -15.2659 489.093 -2994.99 487.709 -2995.68 0.0 487.709 -2995.68 25.9856 -40.2143 -2522.1997 29.5056 29.5056
2 6 -7.8458204 0.0 -40.3311 8.58161 -15.2819 489.093 -2994.99 487.703 -2995.52 0.0 487.703 -2995.52 26.0495 -40.3311 -2522.0986 29.6874 29.6874
2 7 -7.8458204 0.0 -40.3311 8.58161 -15.2819 489.093 -2994.99 487.703 -2995.52 0.0 487.703 -2995.52 26.0495 -40.3311 -2522.0986 29.6874 29.6874
2 8 -7.2613435 0.0 -29.9737 8.60347 -13.0483 489.093 -2994.99 488.012 -3000.19 0.0 488.012 -3000.19 27.1743 -29.9737 -2514.9773 40.6488 40.6488
2 9 -7.2613435 0.0 -29.9737 8.60347 -13.0483 489.093 -2994.99 488.012 -3000.19 0.0 488.012 -3000.19 27.1743 -29.9737 -2514.9773 40.6488 40.6488
2 10 -7.264338 0.0 -30.0044 8.59928 -13.0549 489.093 -2994.99 488.022 -3000.22 0.0 488.022 -3000.22 27.2302 -30.0044 -2514.9722 40.6484 40.6484
2 11 -7.250117 0.0 -29.8576 8.59409 -13.0137 489.093 -2994.99 488.047 -3000.22 0.0 488.047 -3000.22 27.0591 -29.8576 -2514.9717 40.6497 40.6497
2 12 -7.720153 0.0 -36.9603 8.81048 -12.2414 489.093 -2994.99 487.947 -2995.66 0.0 487.947 -2995.66 31.6411 -36.9603 -2513.032 42.1798 42.1798
2 13 -7.556712 0.0 -35.2752 8.73448 -12.3608 489.093 -2994.99 488.024 -2995.95 0.0 488.024 -2995.95 30.5914 -35.2752 -2512.6099 43.55 43.55
2 14 -7.556712 0.0 -35.2752 8.73448 -12.3608 489.093 -2994.99 488.024 -2995.95 0.0 488.024 -2995.95 30.5914 -35.2752 -2512.6099 43.55 43.55
2 15 -7.5372887 0.0 -34.6367 8.85422 -12.3046 489.093 -2994.99 488.038 -2996.4 0.0 488.038 -2996.4 32.8887 -34.6367 -2510.1099 45.619 45.619
3 0 -7.587886 0.0 -33.1462 8.57488 -13.5852 489.093 -2994.99 487.512 -3000.43 0.0 487.512 -3000.43 25.9272 -33.1462 -2520.137 35.5575 35.5575
3 1 -7.544236 0.0 -32.6797 8.56548 -13.6336 489.093 -2994.99 487.518 -3000.51 0.0 487.518 -3000.51 25.9647 -32.6797 -2519.707 36.1219 36.1219
3 2 -7.502462 0.0 -32.1528 8.58788 -13.5749 489.093 -2994.99 487.603 -3000.68 0.0 487.603 -3000.68 25.7193 -32.1528 -2519.5105 36.1246 36.1246
3 3 -7.424888 0.0 -31.653 8.68117 -15.5307 489.093 -2994.99 487.534 -3001.89 0.0 487.534 -3001.89 27.1994 -31.653 -2518.8096 36.6948 36.6948
3 4 -7.436567 0.0 -31.7663 8.67528 -15.5688 489.093 -2994.99 487.571 -3002.01 0.0 487.571 -3002.01 27.447 -31.7663 -2518.7583 36.7256 36.7256
3 5 -7.2386975 0.0 -29.1696 8.58913 -15.1404 489.093 -2994.99 487.781 -3002.82 0.0 487.781 -3002.82 27.8267 -29.1696 -2516.382 37.9139 37.9139
3 6 -7.241296 0.0 -29.1728 8.59325 -15.1148 489.093 -2994.99 487.758 -3002.79 0.0 487.758 -3002.79 27.843 -29.1728 -2516.3618 37.9454 37.9454
3 7 -7.1484995 0.0 -27.8136 8.60537 -15.1482 489.093 -2994.99 487.616 -3003.17 0.0 487.616 -3003.17 27.0489 -27.8136 -2516.3186 38.5968 38.5968
4 0 -7.5602055 0.0 -36.3914 8.79101 -15.1925 489.093 -2994.99 488.143 -2997.21 0.0 488.143 -2997.21 25.3218 -36.3914 -2520.1365 34.8569 34.8569
4 1 -7.5602055 0.0 -36.3914 8.79101 -15.1925 489.093 -2994.99 488.143 -2997.21 0.0 488.143 -2997.21 25.3218 -36.3914 -2520.1365 34.8569 34.8569
4 2 -7.5844727 0.0 -36.6193 8.78344 -15.3433 489.093 -2994.99 488.171 -2997.46 0.0 488.171 -2997.46 25.8232 -36.6193 -2520.0852 35.091 35.091
4 3 -7.5844727 0.0 -36.6193 8.78344 -15.3433 489.093 -2994.99 488.171 -2997.46 0.0 488.171 -2997.46 25.8232 -36.6193 -2520.0852 35.091 35.091
4 4 -7.5588484 0.0 -36.4289 8.83409 -15.2383 489.093 -2994.99 488.286 -2997.33 0.0 488.286 -2997.33 25.9044 -36.4289 -2519.5684 35.4351 35.4351
4 5 -7.5588484 0.0 -36.4289 8.83409 -15.2383 489.093 -2994.99 488.286 -2997.33 0.0 488.286 -2997.33 25.9044 -36.4289 -2519.5684 35.4351 35.4351
4 6 -7.5588484 0.0 -36.4289 8.83409 -15.2383 489.093 -2994.99 488.286 -2997.33 0.0 488.286 -2997.33 25.9044 -36.4289 -2519.5684 35.4351 35.4351
4 7 -7.5588484 0.0 -36.4289 8.83409 -15.2383 489.093 -2994.99 488.286 -2997.33 0.0 488.286 -2997.33 25.9044 -36.4289 -2519.5684 35.4351 35.4351
5 0 -8.0759735 0.0 -46.5966 9.0308 -14.4917 489.093 -2994.99 488.265 -2988.98 0.0 488.265 -2988.98 27.6905 -46.5966 -2519.621 27.0914 27.0914
5 1 -8.0759735 0.0 -46.5966 9.0308 -14.4917 489.093 -2994.99 488.265 -2988.98 0.0 488.265 -2988.98 27.6905 -46.5966 -2519.621 27.0914 27.0914
5 2 -8.0759735 0.0 -46.5966 9.0308 -14.4917 489.093 -2994.99 488.265 -2988.98 0.0 488.265 -2988.98 27.6905 -46.5966 -2519.621 27.0914 27.0914
5 3 -7.6634893 0.0 -40.1957 8.87156 -14.6722 489.093 -2994.99 488.976 -2993.66 0.0 488.976 -2993.66 27.652 -40.1957 -2517.2275 29.7711 29.7711
5 4 -7.9316015 0.0 -44.9098 9.16959 -14.558 489.093 -2994.99 488.899 -2990.06 0.0 488.899 -2990.06 29.0623 -44.9098 -2517.0085 29.3446 29.3446
5 5 -7.9316015 0.0 -44.9098 9.16959 -14.558 489.093 -2994.99 488.899 -2990.06 0.0 488.899 -2990.06 29.0623 -44.9098 -2517.0085 29.3446 29.3446
5 6 -7.950397 0.0 -45.1272 9.17046 -14.5058 489.093 -2994.99 488.907 -2989.99 0.0 488.907 -2989.99 29.2209 -45.1272 -2516.9893 29.539 29.539
5 7 -7.950397 0.0 -45.1272 9.17046 -14.5058 489.093 -2994.99 488.907 -2989.99 0.0 488.907 -2989.99 29.2209 -45.1272 -2516.9893 29.539 29.539
5 8 -7.950397 0.0 -45.1272 9.17046 -14.5058 489.093 -2994.99 488.907 -2989.99 0.0 488.907 -2989.99 29.2209 -45.1272 -2516.9893 29.539 29.539
5 9 -8.138279 0.0 -47.676 9.16946 -13.0158 489.093 -2994.99 488.369 -2986.8 0.0 488.369 -2986.8 31.7224 -47.676 -2514.3848 33.783 33.783
6 0 -7.5755367 0.0 -38.3431 8.49303 -13.58 489.093 -2994.99 488.653 -2994.08 0.0 488.653 -2994.08 24.999 -38.3431 -2518.771 28.2098 28.2098
6 1 -7.5788794 0.0 -38.4175 8.51858 -13.6367 489.093 -2994.99 488.668 -2994.06 0.0 488.668 -2994.06 25.057 -38.4175 -2518.7527 28.0229 28.0229
6 2 -7.5116873 0.0 -37.6334 8.4798 -13.5901 489.093 -2994.99 488.689 -2994.22 0.0 488.689 -2994.22 24.9119 -37.6334 -2518.2524 28.9857 28.9857
6 3 -7.4799976 0.0 -40.6676 8.91082 -15.2384 489.093 -2994.99 488.24 -2989.3 0.0 488.24 -2989.3 27.227 -40.6676 -2514.5007 31.9448 31.9448
6 4 -7.149893 0.0 -37.4496 8.54277 -15.1942 489.093 -2994.99 488.806 -2990.28 0.0 488.806 -2990.28 32.9471 -37.4496 -2505.9766 39.8325 39.8325
6 5 -7.23401 0.0 -37.8516 8.63007 -15.0426 489.093 -2994.99 488.64 -2990.49 0.0 488.64 -2990.49 34.2604 -37.8516 -2505.4414 40.1728 40.1728
6 6 -6.243719 0.0 -22.1315 8.69031 -15.0072 489.093 -2994.99 489.339 -2999.56 0.0 489.339 -2999.56 28.2889 -22.1315 -2504.0635 42.0524 42.0524
6 7 -6.2432413 0.0 -21.7199 8.72867 -14.9878 489.093 -2994.99 489.352 -3000.13 0.0 489.352 -3000.13 28.6229 -21.7199 -2503.8748 43.184 43.184
7 0 -7.6036925 0.0 -38.6187 8.63471 -14.944 489.093 -2994.99 487.735 -2993.84 0.0 487.735 -2993.84 26.3432 -38.6187 -2518.3804 32.4779 32.4779
7 1 -7.6036925 0.0 -38.6187 8.63471 -14.944 489.093 -2994.99 487.735 -2993.84 0.0 487.735 -2993.84 26.3432 -38.6187 -2518.3804 32.4779 32.4779
7 2 -7.576122 0.0 -38.3834 8.63178 -14.9516 489.093 -2994.99 487.725 -2993.75 0.0 487.725 -2993.75 26.3705 -38.3834 -2518.0378 32.7405 32.7405
7 3 -7.576122 0.0 -38.3834 8.63178 -14.9516 489.093 -2994.99 487.725 -2993.75 0.0 487.725 -2993.75 26.3705 -38.3834 -2518.0378 32.7405 32.7405
7 4 -7.5791454 0.0 -38.3954 8.64635 -14.8954 489.093 -2994.99 487.659 -2993.6 0.0 487.659 -2993.6 26.9418 -38.3954 -2517.3948 33.33 33.33
7 5 -7.5791454 0.0 -38.3954 8.64635 -14.8954 489.093 -2994.99 487.659 -2993.6 0.0 487.659 -2993.6 26.9418 -38.3954 -2517.3948 33.33 33.33
7 6 -7.5791454 0.0 -38.3954 8.64635 -14.8954 489.093 -2994.99 487.659 -2993.6 0.0 487.659 -2993.6 26.9418 -38.3954 -2517.3948 33.33 33.33
7 7 -7.5791454 0.0 -38.3954 8.64635 -14.8954 489.093 -2994.99 487.659 -2993.6 0.0 487.659 -2993.6 26.9418 -38.3954 -2517.3948 33.33 33.33
8 0 -8.041053 0.0 -40.7592 9.06781 -12.875 489.093 -2994.99 488.777 -2996.55 0.0 488.777 -2996.55 30.2225 -40.7592 -2518.3096 31.1075 31.1075
9 0 -7.4814563 0.0 -37.7218 8.76768 -15.278 489.093 -2994.99 488.804 -2995.01 0.0 488.804 -2995.01 25.6266 -37.7218 -2518.3013 32.6811 32.6811
9 1 -7.3829446 0.0 -36.5225 8.75879 -12.8509 489.093 -2994.99 488.991 -2993.13 0.0 488.991 -2993.13 24.9025 -36.5225 -2515.759 37.3202 37.3202
9 2 -7.136732 0.0 -33.5018 8.90881 -12.9553 489.093 -2994.99 489.807 -2994.91 0.0 489.807 -2994.91 26.6666 -33.5018 -2511.938 39.5686 39.5686
9 3 -7.3731685 0.0 -36.7741 8.89763 -15.9778 489.093 -2994.99 489.047 -2995.58 0.0 489.047 -2995.58 39.4705 -36.7741 -2503.837 47.2865 47.2865
10 0 -7.4535747 0.0 -34.5934 8.80534 -14.8687 489.093 -2994.99 489.488 -2999.98 0.0 489.488 -2999.98 27.2761 -34.5934 -2517.8093 29.9353 29.9353
10 1 -7.7423186 0.0 -39.1213 9.00261 -12.5543 489.093 -2994.99 488.576 -2993.67 0.0 488.576 -2993.67 28.0073 -39.1213 -2516.208 31.561 31.561
10 2 -7.5785246 0.0 -37.7144 8.91943 -12.6352 489.093 -2994.99 489.082 -2994.16 0.0 489.082 -2994.16 28.3012 -37.7144 -2514.491 32.4464 32.4464
10 3 -5.1506896 0.0 -8.63806 9.1803 -14.5526 489.093 -2994.99 489.717 -3001.93 0.0 489.717 -3001.93 87.7398 -8.63806 -2433.111 115.608 115.608
11 0 -7.1474752 0.0 -29.1365 8.75482 -15.2014 489.093 -2994.99 488.819 -3002.79 0.0 488.819 -3002.79 25.7861 -29.1365 -2517.3213 37.9938 37.9938
11 1 -7.1474752 0.0 -29.1365 8.75482 -15.2014 489.093 -2994.99 488.819 -3002.79 0.0 488.819 -3002.79 25.7861 -29.1365 -2517.3213 37.9938 37.9938
11 2 -7.1445246 0.0 -29.1708 8.75834 -15.2093 489.093 -2994.99 488.857 -3002.75 0.0 488.857 -3002.75 25.8116 -29.1708 -2517.2522 38.0212 38.0212
11 3 -7.1445246 0.0 -29.1708 8.75834 -15.2093 489.093 -2994.99 488.857 -3002.75 0.0 488.857 -3002.75 25.8116 -29.1708 -2517.2522 38.0212 38.0212
11 4 -7.1445246 0.0 -29.1708 8.75834 -15.2093 489.093 -2994.99 488.857 -3002.75 0.0 488.857 -3002.75 25.8116 -29.1708 -2517.2522 38.0212 38.0212
11 5 -7.1445246 0.0 -29.1708 8.75834 -15.2093 489.093 -2994.99 488.857 -3002.75 0.0 488.857 -3002.75 25.8116 -29.1708 -2517.2522 38.0212 38.0212
11 6 -7.143749 0.0 -29.1655 8.75698 -15.1994 489.093 -2994.99 488.852 -3002.73 0.0 488.852 -3002.73 25.7917 -29.1655 -2517.2517 38.0062 38.0062
11 7 -7.143749 0.0 -29.1655 8.75698 -15.1994 489.093 -2994.99 488.852 -3002.73 0.0 488.852 -3002.73 25.7917 -29.1655 -2517.2517 38.0062 38.0062
12 0 -7.372233 0.0 -31.9168 8.69492 -12.6812 489.093 -2994.99 488.122 -2998.66 0.0 488.122 -2998.66 25.595 -31.9168 -2516.8596 39.0538 39.0538
12 1 -7.372233 0.0 -31.9168 8.69492 -12.6812 489.093 -2994.99 488.122 -2998.66 0.0 488.122 -2998.66 25.595 -31.9168 -2516.8596 39.0538 39.0538
12 2 -7.367274 0.0 -31.8638 8.68884 -12.7064 489.093 -2994.99 488.112 -2998.68 0.0 488.112 -2998.68 25.5943 -31.8638 -2516.8374 39.0604 39.0604
12 3 -7.3576217 0.0 -31.7449 8.68372 -12.7471 489.093 -2994.99 488.109 -2998.75 0.0 488.109 -2998.75 25.6542 -31.7449 -2516.732 39.155 39.155
12 4 -7.132172 0.0 -29.3091 8.68311 -12.7894 489.093 -2994.99 488.326 -2999.21 0.0 488.326 -2999.21 25.1355 -29.3091 -2515.0576 40.9579 40.9579
12 5 -7.1397223 0.0 -29.4175 8.68653 -12.8041 489.093 -2994.99 488.342 -2999.2 0.0 488.342 -2999.2 25.2398 -29.4175 -2515.0356 40.9873 40.9873
