Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 5 -8.27266 0.0 -46.8338 8.82397 -15.1289 518.935 -3087.21 516.196 -3082.05 0.0 516.196 -3082.05 30.7288 -46.8338 -2581.959 27.7617 27.7617
4 6 -8.27266 0.0 -46.8338 8.82397 -15.1289 518.935 -3087.21 516.196 -3082.05 0.0 516.196 -3082.05 30.7288 -46.8338 -2581.959 27.7617 27.7617
4 7 -8.27266 0.0 -46.8338 8.82397 -15.1289 518.935 -3087.21 516.196 -3082.05 0.0 516.196 -3082.05 30.7288 -46.8338 -2581.959 27.7617 27.7617
5 0 -7.565561 0.0 -34.664 8.7089 -15.1452 518.935 -3087.21 517.094 -3090.89 0.0 517.094 -3090.89 26.9624 -34.664 -2581.4976 36.5347 36.5347
5 1 -7.565561 0.0 -34.664 8.7089 -15.1452 518.935 -3087.21 517.094 -3090.89 0.0 517.094 -3090.89 26.9624 -34.664 -2581.4976 36.5347 36.5347
5 2 -7.565561 0.0 -34.664 8.7089 -15.1452 518.935 -3087.21 517.094 -3090.89 0.0 517.094 -3090.89 26.9624 -34.664 -2581.4976 36.5347 36.5347
5 3 -7.605272 0.0 -34.8014 8.77055 -14.5025 518.935 -3087.21 517.302 -3090.91 0.0 517.302 -3090.91 28.2849 -34.8014 -2580.1245 38.3376 38.3376
5 4 -7.605272 0.0 -34.8014 8.77055 -14.5025 518.935 -3087.21 517.302 -3090.91 0.0 517.302 -3090.91 28.2849 -34.8014 -2580.1245 38.3376 38.3376
5 5 -7.605272 0.0 -34.8014 8.77055 -14.5025 518.935 -3087.21 517.302 -3090.91 0.0 517.302 -3090.91 28.2849 -34.8014 -2580.1245 38.3376 38.3376
5 6 -7.581324 0.0 -34.5738 8.85007 -14.3688 518.935 -3087.21 517.416 -3090.79 0.0 517.416 -3090.79 29.3009 -34.5738 -2578.647 39.569 39.569
5 7 -7.581324 0.0 -34.5738 8.85007 -14.3688 518.935 -3087.21 517.416 -3090.79 0.0 517.416 -3090.79 29.3009 -34.5738 -2578.647 39.569 39.569
6 0 -7.381756 0.0 -33.3799 8.75889 -12.8643 518.935 -3087.21 518.541 -3089.75 0.0 518.541 -3089.75 24.4315 -33.3799 -2580.1575 37.0199 37.0199
6 1 -7.381756 0.0 -33.3799 8.75889 -12.8643 518.935 -3087.21 518.541 -3089.75 0.0 518.541 -3089.75 24.4315 -33.3799 -2580.1575 37.0199 37.0199
6 2 -7.381209 0.0 -33.444 8.72757 -12.9823 518.935 -3087.21 518.568 -3089.85 0.0 518.568 -3089.85 24.5775 -33.444 -2580.1484 36.8703 36.8703
6 3 -7.381209 0.0 -33.444 8.72757 -12.9823 518.935 -3087.21 518.568 -3089.85 0.0 518.568 -3089.85 24.5775 -33.444 -2580.1484 36.8703 36.8703
6 4 -7.381209 0.0 -33.444 8.72757 -12.9823 518.935 -3087.21 518.568 -3089.85 0.0 518.568 -3089.85 24.5775 -33.444 -2580.1484 36.8703 36.8703
6 5 -7.410878 0.0 -33.6072 8.79462 -12.8299 518.935 -3087.21 518.499 -3089.72 0.0 518.499 -3089.72 24.81 -33.6072 -2580.018 37.1645 37.1645
6 6 -7.410878 0.0 -33.6072 8.79462 -12.8299 518.935 -3087.21 518.499 -3089.72 0.0 518.499 -3089.72 24.81 -33.6072 -2580.018 37.1645 37.1645
6 7 -7.410878 0.0 -33.6072 8.79462 -12.8299 518.935 -3087.21 518.499 -3089.72 0.0 518.499 -3089.72 24.81 -33.6072 -2580.018 37.1645 37.1645
7 0 -7.630664 0.0 -40.8757 8.81728 -15.4209 518.935 -3087.21 518.019 -3083.89 0.0 518.019 -3083.89 26.767 -40.8757 -2579.9795 29.7195 29.7195
7 1 -7.630664 0.0 -40.8757 8.81728 -15.4209 518.935 -3087.21 518.019 -3083.89 0.0 518.019 -3083.89 26.767 -40.8757 -2579.9795 29.7195 29.7195
7 2 -7.665027 0.0 -41.7068 8.77784 -15.6214 518.935 -3087.21 518.046 -3083.47 0.0 518.046 -3083.47 28.0651 -41.7068 -2579.0654 29.9573 29.9573
7 3 -7.717202 0.0 -42.4324 8.80449 -15.6254 518.935 -3087.21 518.063 -3083.19 0.0 518.063 -3083.19 28.5567 -42.4324 -2579.0027 29.826 29.826
7 4 -7.647705 0.0 -41.7565 8.96903 -13.2021 518.935 -3087.21 518.282 -3080.76 0.0 518.282 -3080.76 27.8273 -41.7565 -2576.4072 34.3224 34.3224
