Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
4 0 -9.448618 0.0 -65.8634 14.9199 -83.463 489.093 -2994.99 486.476 -3038.73 0.0 486.476 -3038.73 -45.7328 -65.8634 -2663.85 -8.76012 -8.76012
4 1 -9.448618 0.0 -65.8634 14.9199 -83.463 489.093 -2994.99 486.476 -3038.73 0.0 486.476 -3038.73 -45.7328 -65.8634 -2663.85 -8.76012 -8.76012
4 2 -9.448618 0.0 -65.8634 14.9199 -83.463 489.093 -2994.99 486.476 -3038.73 0.0 486.476 -3038.73 -45.7328 -65.8634 -2663.85 -8.76012 -8.76012
4 3 -8.275593 0.0 -45.3971 15.067 -85.2063 489.093 -2994.99 486.376 -3052.56 0.0 486.376 -3052.56 -46.1322 -45.3971 -2657.7134 -2.93744 -2.93744
4 4 -8.275593 0.0 -45.3971 15.067 -85.2063 489.093 -2994.99 486.376 -3052.56 0.0 486.376 -3052.56 -46.1322 -45.3971 -2657.7134 -2.93744 -2.93744
4 5 -8.275593 0.0 -45.3971 15.067 -85.2063 489.093 -2994.99 486.376 -3052.56 0.0 486.376 -3052.56 -46.1322 -45.3971 -2657.7134 -2.93744 -2.93744
4 6 -8.556967 0.0 -53.9368 15.176 -85.8988 489.093 -2994.99 486.304 -3044.37 0.0 486.304 -3044.37 -44.1213 -53.9368 -2656.1243 -4.00455 -4.00455
4 7 -8.556967 0.0 -53.9368 15.176 -85.8988 489.093 -2994.99 486.304 -3044.37 0.0 486.304 -3044.37 -44.1213 -53.9368 -2656.1243 -4.00455 -4.00455
5 0 -6.9093194 0.0 -4.24136 15.3484 -87.1756 489.093 -2994.99 489.542 -3100.28 0.0 489.542 -3100.28 -47.4836 -4.24136 -2662.463 13.583 13.583
5 1 -6.9093194 0.0 -4.24136 15.3484 -87.1756 489.093 -2994.99 489.542 -3100.28 0.0 489.542 -3100.28 -47.4836 -4.24136 -2662.463 13.583 13.583
5 2 -6.9093194 0.0 -4.24136 15.3484 -87.1756 489.093 -2994.99 489.542 -3100.28 0.0 489.542 -3100.28 -47.4836 -4.24136 -2662.463 13.583 13.583
5 3 -6.8976784 0.0 -4.29334 15.3423 -87.033 489.093 -2994.99 489.538 -3099.87 0.0 489.538 -3099.87 -47.6134 -4.29334 -2662.2388 13.6328 13.6328
5 4 -6.8976784 0.0 -4.29334 15.3423 -87.033 489.093 -2994.99 489.538 -3099.87 0.0 489.538 -3099.87 -47.6134 -4.29334 -2662.2388 13.6328 13.6328
5 5 -6.960614 0.0 -6.0295 15.2347 -84.589 489.093 -2994.99 489.624 -3096.07 0.0 489.624 -3096.07 -47.1195 -6.0295 -2659.595 16.9162 16.9162
5 6 -6.960614 0.0 -6.0295 15.2347 -84.589 489.093 -2994.99 489.624 -3096.07 0.0 489.624 -3096.07 -47.1195 -6.0295 -2659.595 16.9162 16.9162
5 7 -6.960614 0.0 -6.0295 15.2347 -84.589 489.093 -2994.99 489.624 -3096.07 0.0 489.624 -3096.07 -47.1195 -6.0295 -2659.595 16.9162 16.9162
6 0 -7.591331 0.0 -7.32096 15.5779 -89.4631 489.093 -2994.99 488.962 -3107.7 0.0 488.962 -3107.7 -35.8156 -7.32096 -2661.8745 2.39856 2.39856
6 1 -7.591331 0.0 -7.32096 15.5779 -89.4631 489.093 -2994.99 488.962 -3107.7 0.0 488.962 -3107.7 -35.8156 -7.32096 -2661.8745 2.39856 2.39856
6 2 -7.591331 0.0 -7.32096 15.5779 -89.4631 489.093 -2994.99 488.962 -3107.7 0.0 488.962 -3107.7 -35.8156 -7.32096 -2661.8745 2.39856 2.39856
6 3 -7.5737653 0.0 -7.0604 15.5695 -89.4645 489.093 -2994.99 488.962 -3107.83 0.0 488.962 -3107.83 -35.9107 -7.0604 -2661.8394 2.4761 2.4761
6 4 -7.5737653 0.0 -7.0604 15.5695 -89.4645 489.093 -2994.99 488.962 -3107.83 0.0 488.962 -3107.83 -35.9107 -7.0604 -2661.8394 2.4761 2.4761
6 5 -7.51234 0.0 -8.46582 15.5093 -88.4671 489.093 -2994.99 489.027 -3103.85 0.0 489.027 -3103.85 -36.4771 -8.46582 -2659.7659 1.96781 1.96781
6 6 -7.51234 0.0 -8.46582 15.5093 -88.4671 489.093 -2994.99 489.027 -3103.85 0.0 489.027 -3103.85 -36.4771 -8.46582 -2659.7659 1.96781 1.96781
6 7 -7.51234 0.0 -8.46582 15.5093 -88.4671 489.093 -2994.99 489.027 -3103.85 0.0 489.027 -3103.85 -36.4771 -8.46582 -2659.7659 1.96781 1.96781
7 0 -7.6418724 0.0 -37.1875 13.8103 -91.2789 489.093 -2994.99 491.519 -3070.86 0.0 491.519 -3070.86 -45.1506 -37.1875 -2661.6792 8.09881 8.09881
7 1 -7.6758847 0.0 -38.109 13.7978 -92.626 489.093 -2994.99 491.378 -3071.14 0.0 491.378 -3071.14 -43.0708 -38.109 -2660.9417 8.02657 8.02657
7 2 -7.6758847 0.0 -38.109 13.7978 -92.626 489.093 -2994.99 491.378 -3071.14 0.0 491.378 -3071.14 -43.0708 -38.109 -2660.9417 8.02657 8.02657
7 3 -7.6758847 0.0 -38.109 13.7978 -92.626 489.093 -2994.99 491.378 -3071.14 0.0 491.378 -3071.14 -43.0708 -38.109 -2660.9417 8.02657 8.02657
7 4 -7.855221 0.0 -33.6336 13.6241 -91.9054 489.093 -2994.99 491.413 -3080.59 0.0 491.413 -3080.59 -37.4245 -33.6336 -2660.235 12.6001 12.6001
7 5 -7.855221 0.0 -33.6336 13.6241 -91.9054 489.093 -2994.99 491.413 -3080.59 0.0 491.413 -3080.59 -37.4245 -33.6336 -2660.235 12.6001 12.6001
7 6 -7.855221 0.0 -33.6336 13.6241 -91.9054 489.093 -2994.99 491.413 -3080.59 0.0 491.413 -3080.59 -37.4245 -33.6336 -2660.235 12.6001 12.6001
7 7 -7.855221 0.0 -33.6336 13.6241 -91.9054 489.093 -2994.99 491.413 -3080.59 0.0 491.413 -3080.59 -37.4245 -33.6336 -2660.235 12.6001 12.6001
8 0 -8.731274 0.0 -67.2316 15.0744 -95.84 489.093 -2994.99 488.435 -3040.06 0.0 488.435 -3040.06 -42.7968 -67.2316 -2661.6533 -8.39099 -8.39099
8 1 -8.731274 0.0 -67.2316 15.0744 -95.84 489.093 -2994.99 488.435 -3040.06 0.0 488.435 -3040.06 -42.7968 -67.2316 -2661.6533 -8.39099 -8.39099
8 2 -8.731274 0.0 -67.2316 15.0744 -95.84 489.093 -2994.99 488.435 -3040.06 0.0 488.435 -3040.06 -42.7968 -67.2316 -2661.6533 -8.39099 -8.39099
8 3 -8.627258 0.0 -65.6422 15.0616 -95.9155 489.093 -2994.99 488.511 -3041.03 0.0 488.511 -3041.03 -42.5414 -65.6422 -2660.7026 -7.87458 -7.87458
8 4 -8.627258 0.0 -65.6422 15.0616 -95.9155 489.093 -2994.99 488.511 -3041.03 0.0 488.511 -3041.03 -42.5414 -65.6422 -2660.7026 -7.87458 -7.87458
8 5 -8.627258 0.0 -65.6422 15.0616 -95.9155 489.093 -2994.99 488.511 -3041.03 0.0 488.511 -3041.03 -42.5414 -65.6422 -2660.7026 -7.87458 -7.87458
8 6 -8.457222 0.0 -65.9334 14.9563 -95.4095 489.093 -2994.99 488.124 -3036.86 0.0 488.124 -3036.86 -44.937 -65.9334 -2659.6064 -5.2637 -5.2637
8 7 -8.457222 0.0 -65.9334 14.9563 -95.4095 489.093 -2994.99 488.124 -3036.86 0.0 488.124 -3036.86 -44.937 -65.9334 -2659.6064 -5.2637 -5.2637
9 0 -7.900217 0.0 -38.433 15.6324 -92.0851 489.093 -2994.99 490.92 -3070.22 0.0 490.92 -3070.22 -43.5248 -38.433 -2661.2578 8.47548 8.47548
9 1 -7.900217 0.0 -38.433 15.6324 -92.0851 489.093 -2994.99 490.92 -3070.22 0.0 490.92 -3070.22 -43.5248 -38.433 -2661.2578 8.47548 8.47548
