Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -10.252248 0.0 -84.6805 14.6594 -89.9612 518.935 -3087.21 516.418 -3122.05 0.0 516.418 -3122.05 -40.6288 -84.6805 -2730.9414 -17.7509 -17.7509
0 1 -10.252248 0.0 -84.6805 14.6594 -89.9612 518.935 -3087.21 516.418 -3122.05 0.0 516.418 -3122.05 -40.6288 -84.6805 -2730.9414 -17.7509 -17.7509
0 2 -10.178132 0.0 -83.6324 14.6804 -90.4134 518.935 -3087.21 516.38 -3122.82 0.0 516.38 -3122.82 -40.7494 -83.6324 -2730.8218 -17.1539 -17.1539
0 3 -10.178132 0.0 -83.6324 14.6804 -90.4134 518.935 -3087.21 516.38 -3122.82 0.0 516.38 -3122.82 -40.7494 -83.6324 -2730.8218 -17.1539 -17.1539
0 4 -10.178132 0.0 -83.6324 14.6804 -90.4134 518.935 -3087.21 516.38 -3122.82 0.0 516.38 -3122.82 -40.7494 -83.6324 -2730.8218 -17.1539 -17.1539
0 5 -9.951349 0.0 -80.491 14.7669 -92.6235 518.935 -3087.21 516.518 -3126.26 0.0 516.518 -3126.26 -39.2307 -80.491 -2729.4636 -15.6016 -15.6016
0 6 -9.951349 0.0 -80.491 14.7669 -92.6235 518.935 -3087.21 516.518 -3126.26 0.0 516.518 -3126.26 -39.2307 -80.491 -2729.4636 -15.6016 -15.6016
0 7 -9.951349 0.0 -80.491 14.7669 -92.6235 518.935 -3087.21 516.518 -3126.26 0.0 516.518 -3126.26 -39.2307 -80.491 -2729.4636 -15.6016 -15.6016
1 0 -8.8634615 0.0 -52.083 15.0878 -85.2962 518.935 -3087.21 515.559 -3143.09 0.0 515.559 -3143.09 -49.7816 -52.083 -2729.3955 -15.2571 -15.2571
1 1 -8.8634615 0.0 -52.083 15.0878 -85.2962 518.935 -3087.21 515.559 -3143.09 0.0 515.559 -3143.09 -49.7816 -52.083 -2729.3955 -15.2571 -15.2571
1 2 -8.8634615 0.0 -52.083 15.0878 -85.2962 518.935 -3087.21 515.559 -3143.09 0.0 515.559 -3143.09 -49.7816 -52.083 -2729.3955 -15.2571 -15.2571
1 3 -8.732029 0.0 -50.2766 15.092 -86.2252 518.935 -3087.21 515.619 -3144.75 0.0 515.619 -3144.75 -49.2871 -50.2766 -2728.6948 -14.6556 -14.6556
1 4 -8.732029 0.0 -50.2766 15.092 -86.2252 518.935 -3087.21 515.619 -3144.75 0.0 515.619 -3144.75 -49.2871 -50.2766 -2728.6948 -14.6556 -14.6556
1 5 -8.732029 0.0 -50.2766 15.092 -86.2252 518.935 -3087.21 515.619 -3144.75 0.0 515.619 -3144.75 -49.2871 -50.2766 -2728.6948 -14.6556 -14.6556
1 6 -8.803997 0.0 -51.3927 15.0845 -85.5533 518.935 -3087.21 515.554 -3143.44 0.0 515.554 -3143.44 -49.397 -51.3927 -2728.6758 -14.9266 -14.9266
1 7 -8.803997 0.0 -51.3927 15.0845 -85.5533 518.935 -3087.21 515.554 -3143.44 0.0 515.554 -3143.44 -49.397 -51.3927 -2728.6758 -14.9266 -14.9266
2 0 -8.571939 0.0 -50.3549 14.495 -71.8498 518.935 -3087.21 516.932 -3130.59 0.0 516.932 -3130.59 -61.9636 -50.3549 -2725.9766 -9.991 -9.991
2 1 -8.571939 0.0 -50.3549 14.495 -71.8498 518.935 -3087.21 516.932 -3130.59 0.0 516.932 -3130.59 -61.9636 -50.3549 -2725.9766 -9.991 -9.991
2 2 -8.544325 0.0 -49.832 14.4934 -71.738 518.935 -3087.21 516.927 -3130.83 0.0 516.927 -3130.83 -62.1999 -49.832 -2725.935 -9.99192 -9.99192
2 3 -8.544325 0.0 -49.832 14.4934 -71.738 518.935 -3087.21 516.927 -3130.83 0.0 516.927 -3130.83 -62.1999 -49.832 -2725.935 -9.99192 -9.99192
2 4 -8.5323925 0.0 -50.0145 14.4734 -71.6604 518.935 -3087.21 516.994 -3130.41 0.0 516.994 -3130.41 -61.7384 -50.0145 -2725.169 -9.2595 -9.2595
