Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
3 1 -6.5902133 0.0 -22.4803 8.66368 -15.1978 60.3271 -331.691 61.0419 -342.34 0.0 61.0419 -342.34 26.9228 -22.4803 -276.8556 43.7281 43.7281
3 2 -6.604426 0.0 -22.6285 8.66235 -15.1588 60.3271 -331.691 61.0327 -342.292 0.0 61.0327 -342.292 27.0831 -22.6285 -276.8047 43.7986 43.7986
3 3 -6.3437138 0.0 -21.3516 8.82955 -15.2985 60.3271 -331.691 62.3065 -341.856 0.0 62.3065 -341.856 26.1782 -21.3516 -274.7229 45.0267 45.0267
3 4 -6.353562 0.0 -21.4704 8.82189 -15.3301 60.3271 -331.691 62.2821 -341.839 0.0 62.2821 -341.839 26.3346 -21.4704 -274.6927 45.1433 45.1433
3 5 -6.34742 0.0 -21.4084 8.81771 -15.3312 60.3271 -331.691 62.2795 -341.838 0.0 62.2795 -341.838 26.3287 -21.4084 -274.6382 45.0968 45.0968
3 6 -6.34742 0.0 -21.4084 8.81771 -15.3312 60.3271 -331.691 62.2795 -341.838 0.0 62.2795 -341.838 26.3287 -21.4084 -274.6382 45.0968 45.0968
3 7 -6.34742 0.0 -21.4084 8.81771 -15.3312 60.3271 -331.691 62.2795 -341.838 0.0 62.2795 -341.838 26.3287 -21.4084 -274.6382 45.0968 45.0968
4 0 -6.6645107 0.0 -27.0963 8.52222 -13.3404 60.3271 -331.691 61.4753 -335.45 0.0 61.4753 -335.45 24.2137 -27.0963 -276.8573 43.5026 43.5026
4 1 -6.6645107 0.0 -27.0963 8.52222 -13.3404 60.3271 -331.691 61.4753 -335.45 0.0 61.4753 -335.45 24.2137 -27.0963 -276.8573 43.5026 43.5026
4 2 -6.6645107 0.0 -27.0963 8.52222 -13.3404 60.3271 -331.691 61.4753 -335.45 0.0 61.4753 -335.45 24.2137 -27.0963 -276.8573 43.5026 43.5026
4 3 -6.6644363 0.0 -27.0951 8.52224 -13.3386 60.3271 -331.691 61.4767 -335.451 0.0 61.4767 -335.451 24.2127 -27.0951 -276.8567 43.5048 43.5048
4 4 -6.6644363 0.0 -27.0951 8.52224 -13.3386 60.3271 -331.691 61.4767 -335.451 0.0 61.4767 -335.451 24.2127 -27.0951 -276.8567 43.5048 43.5048
4 5 -6.6644363 0.0 -27.0951 8.52224 -13.3386 60.3271 -331.691 61.4767 -335.451 0.0 61.4767 -335.451 24.2127 -27.0951 -276.8567 43.5048 43.5048
4 6 -6.6644363 0.0 -27.0951 8.52224 -13.3386 60.3271 -331.691 61.4767 -335.451 0.0 61.4767 -335.451 24.2127 -27.0951 -276.8567 43.5048 43.5048
4 7 -6.664241 0.0 -27.0932 8.52177 -13.3403 60.3271 -331.691 61.4753 -335.451 0.0 61.4753 -335.451 24.2125 -27.0932 -276.85638 43.5026 43.5026
5 0 -6.5226398 0.0 -24.0954 8.55892 -15.0963 60.3271 -331.691 61.4548 -339.438 0.0 61.4548 -339.438 25.614 -24.0954 -276.46457 44.5071 44.5071
5 1 -6.5226398 0.0 -24.0954 8.55892 -15.0963 60.3271 -331.691 61.4548 -339.438 0.0 61.4548 -339.438 25.614 -24.0954 -276.46457 44.5071 44.5071
5 2 -6.5226398 0.0 -24.0954 8.55892 -15.0963 60.3271 -331.691 61.4548 -339.438 0.0 61.4548 -339.438 25.614 -24.0954 -276.46457 44.5071 44.5071
5 3 -6.5325027 0.0 -24.2579 8.54945 -15.1557 60.3271 -331.691 61.4315 -339.386 0.0 61.4315 -339.386 25.7708 -24.2579 -276.4416 44.5039 44.5039
5 4 -6.5325027 0.0 -24.2579 8.54945 -15.1557 60.3271 -331.691 61.4315 -339.386 0.0 61.4315 -339.386 25.7708 -24.2579 -276.4416 44.5039 44.5039
5 5 -6.495634 0.0 -23.7528 8.56159 -15.1258 60.3271 -331.691 61.51 -339.637 0.0 61.51 -339.637 25.8071 -23.7528 -276.0727 44.8632 44.8632
5 6 -6.495634 0.0 -23.7528 8.56159 -15.1258 60.3271 -331.691 61.51 -339.637 0.0 61.51 -339.637 25.8071 -23.7528 -276.0727 44.8632 44.8632
5 7 -6.495634 0.0 -23.7528 8.56159 -15.1258 60.3271 -331.691 61.51 -339.637 0.0 61.51 -339.637 25.8071 -23.7528 -276.0727 44.8632 44.8632
6 0 -6.4297433 0.0 -23.2543 8.66318 -15.2502 60.3271 -331.691 61.5687 -339.389 0.0 61.5687 -339.389 24.8233 -23.2543 -276.2513 45.5024 45.5024
6 1 -6.4549856 0.0 -23.9322 8.6354 -15.0933 60.3271 -331.691 61.5463 -338.605 0.0 61.5463 -338.605 25.7124 -23.9322 -275.2785 46.4831 46.4831
6 2 -6.4549856 0.0 -23.9322 8.6354 -15.0933 60.3271 -331.691 61.5463 -338.605 0.0 61.5463 -338.605 25.7124 -23.9322 -275.2785 46.4831 46.4831
6 3 -6.2876067 0.0 -21.5157 8.63942 -15.182 60.3271 -331.691 61.5218 -339.65 0.0 61.5218 -339.65 24.8337 -21.5157 -274.8102 46.7801 46.7801
6 4 -6.202141 0.0 -21.7109 8.66533 -15.1904 60.3271 -331.691 62.0548 -338.744 0.0 62.0548 -338.744 28.9774 -21.7109 -269.42267 51.0914 51.0914
6 5 -6.191422 0.0 -21.7551 8.63912 -15.2668 60.3271 -331.691 62.0377 -338.591 0.0 62.0377 -338.591 29.2354 -21.7551 -269.07303 51.3009 51.3009
6 6 -5.8877187 0.0 -18.615 8.55087 -15.3289 60.3271 -331.691 62.501 -339.397 0.0 62.501 -339.397 26.9697 -18.615 -268.5413 51.6646 51.6646
6 7 -5.8877187 0.0 -18.615 8.55087 -15.3289 60.3271 -331.691 62.501 -339.397 0.0 62.501 -339.397 26.9697 -18.615 -268.5413 51.6646 51.6646
7 0 -7.1039987 0.0 -38.8031 8.55775 -13.4149 60.3271 -331.691 61.2269 -324.171 0.0 61.2269 -324.171 25.6317 -38.8031 -276.11548 36.843 36.843
7 1 -7.1039987 0.0 -38.8031 8.55775 -13.4149 60.3271 -331.691 61.2269 -324.171 0.0 61.2269 -324.171 25.6317 -38.8031 -276.11548 36.843 36.843
7 2 -7.085169 0.0 -38.5978 8.55074 -13.4437 60.3271 -331.691 61.2073 -324.19 0.0 61.2073 -324.19 25.755 -38.5978 -275.8255 37.0053 37.0053
7 3 -7.027339 0.0 -37.5389 8.52491 -13.5458 60.3271 -331.691 61.1472 -324.931 0.0 61.1472 -324.931 25.7726 -37.5389 -275.5501 37.2217 37.2217
7 4 -7.027339 0.0 -37.5389 8.52491 -13.5458 60.3271 -331.691 61.1472 -324.931 0.0 61.1472 -324.931 25.7726 -37.5389 -275.5501 37.2217 37.2217
7 5 -7.027339 0.0 -37.5389 8.52491 -13.5458 60.3271 -331.691 61.1472 -324.931 0.0 61.1472 -324.931 25.7726 -37.5389 -275.5501 37.2217 37.2217
7 6 -7.027339 0.0 -37.5389 8.52491 -13.5458 60.3271 -331.691 61.1472 -324.931 0.0 61.1472 -324.931 25.7726 -37.5389 -275.5501 37.2217 37.2217
7 7 -7.027339 0.0 -37.5389 8.52491 -13.5458 60.3271 -331.691 61.1472 -324.931 0.0 61.1472 -324.931 25.7726 -37.5389 -275.5501 37.2217 37.2217
8 0 -6.4702435 0.0 -21.7984 8.7744 -15.1346 60.3271 -331.691 61.4408 -341.816 0.0 61.4408 -341.816 26.1556 -21.7984 -276.018 45.081 45.081
8 1 -6.4702435 0.0 -21.7984 8.7744 -15.1346 60.3271 -331.691 61.4408 -341.816 0.0 61.4408 -341.816 26.1556 -21.7984 -276.018 45.081 45.081
8 2 -6.4395404 0.0 -21.5592 8.76218 -15.1841 60.3271 -331.691 61.4321 -341.739 0.0 61.4321 -341.739 26.1321 -21.5592 -275.734 45.299 45.299
8 3 -6.4395404 0.0 -21.5592 8.76218 -15.1841 60.3271 -331.691 61.4321 -341.739 0.0 61.4321 -341.739 26.1321 -21.5592 -275.734 45.299 45.299
8 4 -6.31673 0.0 -20.5206 8.75656 -15.2355 60.3271 -331.691 61.4788 -341.47 0.0 61.4788 -341.47 26.0093 -20.5206 -274.5025 46.5476 46.5476
8 5 -6.31673 0.0 -20.5206 8.75656 -15.2355 60.3271 -331.691 61.4788 -341.47 0.0 61.4788 -341.47 26.0093 -20.5206 -274.5025 46.5476 46.5476
8 6 -6.31673 0.0 -20.5206 8.75656 -15.2355 60.3271 -331.691 61.4788 -341.47 0.0 61.4788 -341.47 26.0093 -20.5206 -274.5025 46.5476 46.5476
8 7 -6.31673 0.0 -20.5206 8.75656 -15.2355 60.3271 -331.691 61.4788 -341.47 0.0 61.4788 -341.47 26.0093 -20.5206 -274.5025 46.5476 46.5476
9 0 -6.4584846 0.0 -21.9421 8.58741 -15.3599 60.3271 -331.691 61.4278 -341.896 0.0 61.4278 -341.896 26.5622 -21.9421 -275.8481 43.9202 43.9202
